coordinates,date,hashtags,language,source,text,user
,2/15/2019 16:28,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Penyrheolgerrig: @LoppyLinda @CarolineLucas If they are protesting, then why are they calling it a strike. The problem is the overpopul…",Penyrheolgerrig
,2/15/2019 16:26,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@GaryMaylin @sfawcus @N1_remainer @CarolineLucas Until you start tackling overpopulation by challenging institution… https://t.co/n5Y61C5Cjf,Penyrheolgerrig
,2/15/2019 16:07,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@_i0n @johnmcdonnellMP You do realize that volcanoes effect the climate more than anything! The second thing destro… https://t.co/zl8NbMi3KS,TheoWind72
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @HeroFuture_HFE: Air pollution threatens many low and middle-income cities. The natives there may lack the resources to deal with the he…,ISPA_SunPower
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @SaveWooltonWood: As evidence mounts about the harmful effects of air pollution Mayor Anderson needs to stop building on Liverpool parks…,PaulPaul49
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","This Air Pollution Mask features ""lights that change according to surrounding air quality."" https://t.co/K5lANqlgc9",SouthCoastAQMD
,2/15/2019 17:10,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @highcountrynews: Unlike vascular plants, moss and lichen lack roots, so they must extract all the nutrients they need from the air. htt…",meyerslemon
,2/15/2019 17:08,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Do you consider air pollution in your consultations? Do you consider this in your own health?… https://t.co/7ufWO6w0Yl,Docs4Progress
,2/15/2019 17:04,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The comment period for this proposal to deregulate mercury pollution is open until March 25th. You can comment here https://t.co/jViwjGEKPm,HarvardEELP
,2/15/2019 17:04,[],en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @pickledpuffin: Climate change is linked to pollution &amp; consumerism. Meat &amp; fish contain micro plastic, polluted air contains carcinogen…",jilliebinfrance
,2/15/2019 17:03,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @winberlygagrl: @ddale8 He doesn't understand the concept of climate. 
He constantly confuses it with air quality, pollution, &amp; weather.…",luxtine
,2/15/2019 17:02,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @RichardBarrow: Correct me if I’m wrong, but having a diesel engine running continuously is contributing more pollution to the air than…",mr_sawlwin
,2/15/2019 17:02,[],en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Your skin and haircare routine shouldn’t be an excuse to use toxic sprays that contribute to air pollution. For you… https://t.co/HqCDk58wk1,ppcr_ja
,2/15/2019 17:02,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@madalsas @TheEconomist It's a bit amazing. For at least two decades, I have been told that indoor air pollution wa… https://t.co/KDJBfqRh72",LaurentFranckx
,2/15/2019 17:01,"[{'text': 'socialmedia', 'indices': [20, 32]}]",en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @Xristfer: Using #socialmedia to measure air pollution’s psychological toll https://t.co/kd3UXlFEMK https://t.co/UcEUiNZLYQ,LaVidaEnigma
,2/15/2019 17:01,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @AirMonitoring: ET’s MD, Duncan Mounsor, talk’s on BBC radio Gloucestershire this morning about air pollution and how we can all do our…",EarthSenseAQ
,2/15/2019 17:01,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @mehdirhasan: @ddale8 He thinks climate change is something to do with smog and pollution and clean air.,luxtine
,2/15/2019 12:31,[],en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","WARNING: Insects are rapidly declining. 
Insects are crucial to many ecosystems: they pollinate plants, recycle nut… https://t.co/VYer3Re7dm",UNEnvironment
,2/15/2019 12:18,[],en,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",This café owner is giving away books to children who bring him plastic bottles and cans to recycle… https://t.co/oK9m6EV7OH,CNN
,2/15/2019 17:12,"[{'text': 'Tweet4Taiji', 'indices': [126, 138]}]",en,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",Paper comes from continuously regrown tree farms. It costs more to recycle than produce new paper. Recycling paper is a scam. #Tweet4Taiji,Enviro_Frauds
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@_SJPeace_ @KimKardashian Imagine all the bottles USA could recycle with those billions of dollars that are being s… https://t.co/Mxh5Bgl6f9,MarsupickuM
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","“Looping” is one solution to solve the environmental damage created by packaging.
https://t.co/sJ5xcBKObv",Greenrail_IT
,2/15/2019 17:11,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Unexplained: This poor Sea turtle had a plastic fork stuck in its nose 😞
More than 8 million tons of plastic are dumped in our oceans e…",ittsjasmine98
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Julie_B92 Charity shops recycle old fabrics. They get paid depending on the weight. Or you can take a bagful to… https://t.co/JBiM6JMCcM,Sharandish
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@alisonbcoleman Hi Alison, I work with a company which has developed machinery to turn waste plastic into an oil so… https://t.co/13b8BGLhFo",eaton_simon
,2/15/2019 17:10,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @jamesnikitine: Recycle, Reduce, Reuse: we need a much better life cycle approach to combat marine litter and microplastics. Check out t…",AfsaneMoeeni
,2/15/2019 17:09,[],en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@markdavyd 4yr back I was told I was a nuisance for trying to get people to recycle paper.

Needless to say, I no l… https://t.co/ID8LonQ7rv",LadyArsington
,2/15/2019 17:07,[],en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @AluminumNews: Happy Friday! Aluminum cans are the most sustainable beverage package on virtually every measure, so make sure you recycl…",KhalilWesam
,2/15/2019 17:07,"[{'text': 'recycle', 'indices': [50, 58]}]",en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","It’s happened before – you’re not sure if you can #recycle that particular item. Since locations vary, ALWAYS conta… https://t.co/hZcY5Jp7vJ",CalRecycle
,2/15/2019 17:06,[],en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If we're going to be friends, then you're going to need to recycle.",ezyjules
,2/14/2019 10:46,"[{'text': 'ValentinesDay', 'indices': [21, 35]}, {'text': 'Nature', 'indices': [65, 72]}]",en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nature lovers, happy #ValentinesDay we asked you to tell us what #Nature means to you, here are some of the amazing… https://t.co/mPc2bmlboF",WWF
,2/14/2019 10:00,"[{'text': 'wildlife', 'indices': [92, 101]}, {'text': 'biodiversity', 'indices': [102, 115]}]",en,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","We've lost 60% of wildlife in less than 50 years, according to @WWF https://t.co/ZpOf9Jtj6y #wildlife #biodiversity https://t.co/ZfxRmWkTZs",wef
